FORPRINT: Fri Nov  2 14:12:28 2012
       187.53171       12.608621
       187.79964       12.683685
       188.01831       12.341769
       188.06087       12.051489
       187.73929       12.429090
       187.86834       12.417750
       187.97060       12.266425
       187.76885       11.943475
       27.310317       13.031989
       190.48071       11.667720
       220.20734       3.4675105
       181.07233       1.9174611
       181.15320       1.8926561
       151.48067      0.65220519
       139.94958       33.768053
