FORPRINT: Fri Nov  8 17:05:03 2013
      0.75020947    -0.014595812
     0.052801951   -0.0072470726
      0.31455681   -0.0076119622
      0.31478641   -0.0071595192
      0.89566324   -0.0071387710
      0.76406095   -0.0028358708
      0.76363323   -0.0028597758
      0.76406061   -0.0028359839
      0.76363301   -0.0028598815
      0.76363323   -0.0028597758
      0.76406061   -0.0028359839
      0.76363301   -0.0028598815
      0.76406095   -0.0028358708
      0.88896534  -0.00023835906
      0.88896506  -0.00023829973
      0.72780071    0.0073578789
      0.72780057    0.0073582867
      0.36071300     0.012587519
      0.36071664     0.012586804
      0.36071658     0.012586833
       6.2720914    -0.019747817
      0.13012515    -0.021552779
      0.24546657    -0.019170275
      0.24510738    -0.019899386
      0.24512242    -0.019493073
      0.24568571    -0.019800456
      0.24613447    -0.019950771
      0.24538822    -0.019971788
      0.28047361    -0.018760949
      0.28091159    -0.017722613
      0.37301086    -0.019703300
      0.37301097    -0.019703317
      0.37434478    -0.020588933
      0.37434434    -0.020589665
      0.37542796    -0.021391272
      0.37542835    -0.021391264
      0.38273684    -0.019889631
      0.38222038    -0.019286835
      0.38273648    -0.019890122
      0.38222059    -0.019286885
      0.38273684    -0.019889631
      0.38273648    -0.019890122
      0.38222038    -0.019286835
      0.38222059    -0.019286885
      0.39153829    -0.021663815
      0.39153376    -0.021665554
      0.39153339    -0.021666017
      0.39153196    -0.021668437
      0.41108204    -0.019632036
      0.40990097    -0.020348595
      0.41073180    -0.018016592
      0.41072862    -0.018016978
      0.41073312    -0.018016019
      0.41024935    -0.017521751
      0.41024846    -0.017521387
      0.41073232    -0.018015873
      0.41073140    -0.018016549
      0.41081940    -0.019651439
      0.41081367    -0.020169547
      0.41081327    -0.020169107
      0.41108217    -0.019632055
      0.41060527    -0.019663389
      0.41060568    -0.019663321
      0.41081964    -0.019651389
      0.41110212    -0.019261790
      0.40990096    -0.020348276
      0.41060513    -0.019663275
      0.41110191    -0.019261888
      0.47508379    -0.019755639
      0.47508350    -0.019756171
      0.67496503    -0.021616319
      0.71983991    -0.020435282
      0.72130033    -0.020914734
      0.78272256    -0.020362156
      0.78272249    -0.020362194
      0.78812498    -0.019655903
      0.78812638    -0.019652664
      0.78812465    -0.019656330
      0.79769276    -0.021701368
      0.79769201    -0.021700954
      0.80229589    -0.018493629
      0.80205990    -0.019263349
      0.80206035    -0.019262620
      0.80229598    -0.018493905
      0.82743812    -0.021613016
      0.82743790    -0.021612663
      0.83719261    -0.020138517
      0.83719187    -0.020138706
      0.83719261    -0.020139019
      0.87645448    -0.018556579
      0.91992490    -0.019009508
      0.92001626    -0.020857632
      0.92826534    -0.020133538
      0.92801628    -0.020657843
      0.93923153    -0.021444321
       6.2021669    -0.011557229
       6.2552988    -0.012336952
      0.15920668    -0.012714776
      0.28048526    -0.013349694
      0.27937893    -0.014190351
      0.27988861    -0.014313109
      0.28048584    -0.013351006
      0.28108849    -0.015225778
      0.28145283    -0.015220900
      0.28222199    -0.014010589
      0.28222164    -0.014009985
      0.36305580    -0.011190267
      0.38412727    -0.012886777
      0.38412758    -0.012886632
      0.39873473    -0.011763014
      0.39872935    -0.011766181
      0.39873367    -0.011763438
      0.39864938    -0.010390783
      0.51013272    -0.011174272
      0.56954972    -0.010187672
      0.56955082    -0.010187625
      0.57029542    -0.011140814
      0.57029780    -0.011143002
      0.59330142    -0.012454206
